"LOCATION","Country","FREQUENCY","Frequency","MEAS","Measure","TIME","Time","Value","Flag Codes","Flags"
"AUT","Austria","A","Annual","PCT","Percentage of employees","1963","1963",59.299999,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","1964","1964",59,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","1965","1965",58.599998,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","1966","1966",58.299999,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","1967","1967",57.700001,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","1968","1968",58,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","1969","1969",57.5,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","1970","1970",56.700001,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","1971","1971",55.299999,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","1972","1972",54.299999,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","1973","1973",52.799999,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","1974","1974",52.400002,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","1975","1975",52.599998,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","1976","1976",52.400002,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","1977","1977",51.700001,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","1978","1978",51.5,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","1979","1979",51.5,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","1980","1980",51.700001,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","1981","1981",51.900002,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","1982","1982",52.099998,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","1983","1983",52,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","1984","1984",52,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","1985","1985",51.299999,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","1986","1986",50.900002,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","1987","1987",50.099998,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","1988","1988",49.099998,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","1989","1989",48,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","1990","1990",46.799999,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","1991","1991",45.5,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","1992","1992",44.5,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","1993","1993",44,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","1994","1994",41.5,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","1995","1995",41.099998,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","1996","1996",40.099998,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","1997","1997",38.900002,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","1998","1998",38.400002,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","1999","1999",37.900002,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","2000","2000",36.900002,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","2001","2001",36.200001,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","2002","2002",36,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","2003","2003",34.599998,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","2004","2004",34.799999,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","2005","2005",33.799999,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","2006","2006",31.6,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","2007","2007",30.4,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","2008","2008",29.6,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","2009","2009",29.299999,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","2010","2010",28.9,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","2011","2011",28.299999,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","2012","2012",28,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","2013","2013",27.799999,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","2014","2014",27.700001,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","2015","2015",27.4,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","2016","2016",26.9,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","2017","2017",26.700001,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","2018","2018",26.299999,,
"AUT","Austria","A","Annual","PCT","Percentage of employees","2019","2019",26.299999,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","1960","1960",41.5,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","1961","1961",40.400002,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","1962","1962",38.900002,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","1963","1963",39.799999,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","1964","1964",39.400002,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","1965","1965",39.900002,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","1966","1966",40.299999,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","1967","1967",41.200001,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","1968","1968",42,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","1969","1969",42,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","1970","1970",42.099998,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","1971","1971",43.900002,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","1972","1972",46.799999,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","1973","1973",48,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","1974","1974",49.099998,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","1975","1975",51.799999,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","1976","1976",53.400002,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","1977","1977",54.299999,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","1978","1978",53.400002,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","1979","1979",50.200001,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","1980","1980",53.400002,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","1981","1981",53.099998,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","1982","1982",51.900002,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","1983","1983",52.400002,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","1984","1984",51.700001,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","1985","1985",50.700001,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","1986","1986",49.400002,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","1987","1987",49,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","1988","1988",48.299999,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","1989","1989",49,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","1990","1990",50.599998,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","1991","1991",51.700001,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","1992","1992",51,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","1993","1993",52.599998,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","1994","1994",53.400002,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","1995","1995",55.700001,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","1996","1996",55.900002,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","1997","1997",56.200001,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","1998","1998",56.5,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","1999","1999",56.200001,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","2000","2000",56.599998,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","2001","2001",57.599998,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","2002","2002",56.900002,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","2003","2003",55.400002,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","2004","2004",55.299999,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","2005","2005",54.900002,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","2006","2006",53.799999,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","2007","2007",53.599998,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","2008","2008",53.400002,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","2009","2009",53.799999,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","2010","2010",53,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","2011","2011",54.200001,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","2012","2012",54.099998,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","2013","2013",53.299999,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","2014","2014",52.900002,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","2015","2015",52.299999,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","2016","2016",51.599998,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","2017","2017",50.700001,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","2018","2018",50,,
"BEL","Belgium","A","Annual","PCT","Percentage of employees","2019","2019",49.099998,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","1960","1960",30.1,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","1961","1961",29.5,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","1962","1962",28,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","1963","1963",27.6,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","1964","1964",27.299999,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","1965","1965",27.6,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","1966","1966",28.5,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","1967","1967",30.5,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","1968","1968",31,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","1969","1969",30.9,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","1970","1970",31.799999,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","1971","1971",31.5,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","1972","1972",32.400002,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","1973","1973",33.599998,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","1974","1974",33.599998,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","1975","1975",34.799999,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","1976","1976",34.5,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","1977","1977",35.099998,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","1978","1978",35.5,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","1979","1979",34.599998,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","1980","1980",34,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","1981","1981",33.900002,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","1982","1982",36.799999,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","1983","1983",35.900002,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","1984","1984",35.900002,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","1985","1985",35.299999,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","1986","1986",34.5,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","1987","1987",33.900002,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","1988","1988",33.400002,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","1989","1989",33.5,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","1990","1990",33.599998,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","1997","1997",28.9,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","1998","1998",28.6,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","1999","1999",28,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","2000","2000",28.200001,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","2001","2001",28.4,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","2002","2002",28.299999,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","2003","2003",28.200001,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","2004","2004",27.799999,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","2005","2005",27.700001,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","2006","2006",27.4,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","2007","2007",27.299999,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","2008","2008",27,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","2009","2009",27.299999,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","2010","2010",27.200001,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","2011","2011",26.9,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","2012","2012",27.200001,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","2013","2013",27.1,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","2014","2014",26.4,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","2015","2015",26.5,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","2016","2016",26.299999,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","2017","2017",26.299999,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","2018","2018",25.9,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","2019","2019",26.1,,
"CAN","Canada","A","Annual","PCT","Percentage of employees","2020","2020",27.200001,,
"CZE","Czechia","A","Annual","PCT","Percentage of employees","1993","1993",67.199997,,
"CZE","Czechia","A","Annual","PCT","Percentage of employees","1994","1994",53.200001,,
"CZE","Czechia","A","Annual","PCT","Percentage of employees","1995","1995",44.5,,
"CZE","Czechia","A","Annual","PCT","Percentage of employees","1996","1996",40.400002,,
"CZE","Czechia","A","Annual","PCT","Percentage of employees","1997","1997",37.599998,,
"CZE","Czechia","A","Annual","PCT","Percentage of employees","1998","1998",32.099998,,
"CZE","Czechia","A","Annual","PCT","Percentage of employees","1999","1999",30,,
"CZE","Czechia","A","Annual","PCT","Percentage of employees","2000","2000",27.200001,,
"CZE","Czechia","A","Annual","PCT","Percentage of employees","2001","2001",23.799999,,
"CZE","Czechia","A","Annual","PCT","Percentage of employees","2002","2002",22.4,,
"CZE","Czechia","A","Annual","PCT","Percentage of employees","2003","2003",22.299999,,
"CZE","Czechia","A","Annual","PCT","Percentage of employees","2004","2004",20.6,,
"CZE","Czechia","A","Annual","PCT","Percentage of employees","2005","2005",19.1,,
"CZE","Czechia","A","Annual","PCT","Percentage of employees","2006","2006",18.1,,
"CZE","Czechia","A","Annual","PCT","Percentage of employees","2007","2007",17.4,,
"CZE","Czechia","A","Annual","PCT","Percentage of employees","2008","2008",16.9,,
"CZE","Czechia","A","Annual","PCT","Percentage of employees","2009","2009",16.700001,,
"CZE","Czechia","A","Annual","PCT","Percentage of employees","2010","2010",16.1,,
"CZE","Czechia","A","Annual","PCT","Percentage of employees","2011","2011",15.4,,
"CZE","Czechia","A","Annual","PCT","Percentage of employees","2012","2012",14.8,,
"CZE","Czechia","A","Annual","PCT","Percentage of employees","2013","2013",13.6,,
"CZE","Czechia","A","Annual","PCT","Percentage of employees","2014","2014",12.9,,
"CZE","Czechia","A","Annual","PCT","Percentage of employees","2015","2015",11.9,,
"CZE","Czechia","A","Annual","PCT","Percentage of employees","2016","2016",11.9,,
"CZE","Czechia","A","Annual","PCT","Percentage of employees","2017","2017",11.7,,
"CZE","Czechia","A","Annual","PCT","Percentage of employees","2018","2018",11.4,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","1960","1960",59,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","1961","1961",59.200001,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","1962","1962",59.299999,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","1963","1963",59.599998,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","1964","1964",60,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","1965","1965",59.900002,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","1966","1966",58.799999,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","1967","1967",59,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","1968","1968",60.299999,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","1969","1969",61,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","1970","1970",60.799999,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","1971","1971",62.599998,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","1972","1972",62,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","1973","1973",62.5,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","1974","1974",64,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","1975","1975",68.300003,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","1976","1976",71.099998,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","1977","1977",72.099998,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","1978","1978",75.599998,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","1979","1979",76,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","1980","1980",77.199997,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","1981","1981",77.199997,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","1982","1982",76.699997,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","1983","1983",78.900002,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","1984","1984",78.099998,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","1985","1985",77.599998,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","1986","1986",77.5,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","1987","1987",75.800003,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","1988","1988",73.699997,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","1989","1989",74.300003,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","1990","1990",73.900002,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","1991","1991",74.400002,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","1992","1992",75,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","1993","1993",76,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","1994","1994",78.599998,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","1995","1995",77.400002,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","1996","1996",76.599998,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","1997","1997",75.199997,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","1998","1998",76.300003,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","1999","1999",74.599998,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","2000","2000",74.5,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","2001","2001",73.900002,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","2002","2002",73.599998,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","2003","2003",72.400002,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","2004","2004",71.699997,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","2005","2005",71.5,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","2006","2006",69.699997,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","2007","2007",69,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","2008","2008",68.800003,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","2009","2009",68.900002,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","2010","2010",68.099998,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","2011","2011",68.699997,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","2012","2012",69,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","2013","2013",68.800003,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","2014","2014",68.5,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","2015","2015",68.199997,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","2016","2016",67.400002,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","2017","2017",66.699997,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","2018","2018",67.5,,
"DNK","Denmark","A","Annual","PCT","Percentage of employees","2019","2019",67,,
"FIN","Finland","A","Annual","PCT","Percentage of employees","1960","1960",31.9,,
"FIN","Finland","A","Annual","PCT","Percentage of employees","1961","1961",31.5,,
"FIN","Finland","A","Annual","PCT","Percentage of employees","1962","1962",35.299999,,
"FIN","Finland","A","Annual","PCT","Percentage of employees","1963","1963",37.400002,,
"FIN","Finland","A","Annual","PCT","Percentage of employees","1964","1964",37,,
"FIN","Finland","A","Annual","PCT","Percentage of employees","1965","1965",38.299999,,
"FIN","Finland","A","Annual","PCT","Percentage of employees","1966","1966",39.599998,,
"FIN","Finland","A","Annual","PCT","Percentage of employees","1967","1967",40.700001,,
"FIN","Finland","A","Annual","PCT","Percentage of employees","1968","1968",41,,
"FIN","Finland","A","Annual","PCT","Percentage of employees","1969","1969",47.5,,
"FIN","Finland","A","Annual","PCT","Percentage of employees","1970","1970",51.299999,,
"FIN","Finland","A","Annual","PCT","Percentage of employees","1971","1971",56.200001,,
"FIN","Finland","A","Annual","PCT","Percentage of employees","1972","1972",60.799999,,
"FIN","Finland","A","Annual","PCT","Percentage of employees","1973","1973",61.400002,,
"FIN","Finland","A","Annual","PCT","Percentage of employees","1974","1974",63.200001,,
"FIN","Finland","A","Annual","PCT","Percentage of employees","1975","1975",65.300003,,
"FIN","Finland","A","Annual","PCT","Percentage of employees","1976","1976",67.599998,,
"FIN","Finland","A","Annual","PCT","Percentage of employees","1977","1977",66.699997,,
"FIN","Finland","A","Annual","PCT","Percentage of employees","1978","1978",66.900002,,
"FIN","Finland","A","Annual","PCT","Percentage of employees","1979","1979",68.099998,,
"FIN","Finland","A","Annual","PCT","Percentage of employees","1980","1980",69.400002,,
"FIN","Finland","A","Annual","PCT","Percentage of employees","1981","1981",68.300003,,
"FIN","Finland","A","Annual","PCT","Percentage of employees","1982","1982",68.400002,,
"FIN","Finland","A","Annual","PCT","Percentage of employees","1983","1983",68.800003,,
"FIN","Finland","A","Annual","PCT","Percentage of employees","1984","1984",69,,
"FIN","Finland","A","Annual","PCT","Percentage of employees","1985","1985",69.099998,,
"FIN","Finland","A","Annual","PCT","Percentage of employees","1986","1986",70,,
"FIN","Finland","A","Annual","PCT","Percentage of employees","1987","1987",70.599998,,
"FIN","Finland","A","Annual","PCT","Percentage of employees","1988","1988",72.300003,,
"FIN","Finland","A","Annual","PCT","Percentage of employees","1989","1989",72.800003,,
